epoch,loss,Dice,IoU,Sensitivity,Specificity,Accuracy
1,0.9931861758232117,0.20638563604071844,0.11611225414996726,0.6431420482772847,0.9736249803378438,0.9563104629516601
2,0.6334403366655916,0.35478973913943807,0.21765937642019467,0.728989799171057,0.9879905523248915,0.972871971130371
3,0.5037587107838811,0.3909244356380405,0.2467306395313424,0.7631661549873472,0.9925299938178282,0.9778202056884766
4,0.44585058979085973,0.49975343419318063,0.3372571679694544,0.8572741882226171,0.9902080880727645,0.9794689178466797
5,0.4053484918297948,0.5780265899661342,0.412412962235891,0.7989300987131326,0.9961178446774397,0.9849906921386719
6,0.3714877318691563,0.5735697859679906,0.40866134480773475,0.8222120660809026,0.9954922208469232,0.9849929809570312
7,0.348682766830599,0.576749316120109,0.4081691436574878,0.86251462114947,0.9941079344584043,0.9843481063842774
8,0.32679204280311996,0.6241517685323164,0.45888290609648286,0.8678659448473883,0.9942332937736463,0.9855875015258789
9,0.30682903125479416,0.6215657854353809,0.4575394530769888,0.8206679030138841,0.9965542149958402,0.9865690231323242
10,0.2913777328826286,0.6068912344677383,0.4410786260867449,0.8760321823291084,0.9934507115297819,0.9847734451293946
11,0.278987892173432,0.6524122798620091,0.4894392358595575,0.8075126883324734,0.9973001764654512,0.9874879837036132
12,0.2684486899021509,0.6279720918113281,0.46344977518685726,0.8402367832062057,0.9955146473128469,0.9860319137573242
13,0.2588966247197744,0.6444249636866596,0.48096773091040124,0.8412189001027255,0.9961359878168045,0.9869726181030274
14,0.2520018719338082,0.6575604319334796,0.49590801213726754,0.8377926307735187,0.9966576184317137,0.9876214981079101
15,0.2445549115135863,0.5776851145276184,0.41373225087328314,0.8180961108193692,0.9969599234486489,0.9865060806274414
16,0.24079047505919998,0.6472232158956623,0.485801754312856,0.7874121589998653,0.99794860342915,0.9876895904541015
17,0.23389562239518036,0.654144937022005,0.49206261890361114,0.8564824491068173,0.9958534284994165,0.9871574401855469
18,0.22818229488424352,0.6555917108822635,0.49671408440553516,0.8181151027537696,0.9973050148641004,0.9876480102539062
19,0.22569770748550827,0.6563310300572043,0.4933850693053124,0.8370342518011651,0.9971133276050856,0.9879230499267578
20,0.22147284005139325,0.6656644290873637,0.5051408919236191,0.8367214980370374,0.997081030607579,0.9879844665527344
